#iter 	OPEN-FERM	Minimum		Saddle		PySCF
1 -70.64534874663082 -72.96264508035996 -72.75670346286131      -72.78822437994683   
2 -71.64785907423683 -72.96264508035996 -72.75670346286131      -72.94364300842153   
3 -72.30339404109674 -72.96264508035996 -72.75670346286131      -72.96029338122435   
4 -72.71016446974451 -72.96264508035996 -72.75670346286131      -72.96263792070599   
5 -72.92605819947542 -72.96264508035996 -72.75670346286131      -72.9626450733731    
6 -72.95524796258212 -72.96264508035996 -72.75670346286131      -72.96264508035911   
7 -72.96153687534868 -72.96264508035996 -72.75670346286131
8 -72.96204036637577 -72.96264508035996 -72.75670346286131
9 -72.96227231232461 -72.96264508035996 -72.75670346286131
10 -72.96203278527862 -72.96264508035996 -72.75670346286131
11 -72.96234469506567 -72.96264508035996 -72.75670346286131
12 -72.96228394730846 -72.96264508035996 -72.75670346286131
13 -72.96214146625485 -72.96264508035996 -72.75670346286131
14 -72.96216828042071 -72.96264508035996 -72.75670346286131
15 -72.96224562912856 -72.96264508035996 -72.75670346286131
16 -72.96207340421847 -72.96264508035996 -72.75670346286131
17 -72.96204123842331 -72.96264508035996 -72.75670346286131
18 -72.96222158711393 -72.96264508035996 -72.75670346286131
19 -72.96218012008073 -72.96264508035996 -72.75670346286131
20 -72.96236517967304 -72.96264508035996 -72.75670346286131
21 -72.96204590151697 -72.96264508035996 -72.75670346286131
22 -72.96230077570816 -72.96264508035996 -72.75670346286131
23 -72.96198199686458 -72.96264508035996 -72.75670346286131
24 -72.96177154408201 -72.96264508035996 -72.75670346286131
25 -72.96203247994242 -72.96264508035996 -72.75670346286131
26 -72.96202331858149 -72.96264508035996 -72.75670346286131
27 -72.96211885197837 -72.96264508035996 -72.75670346286131
28 -72.96219916456849 -72.96264508035996 -72.75670346286131
29 -72.96225295856149 -72.96264508035996 -72.75670346286131
30 -72.96217614836053 -72.96264508035996 -72.75670346286131
