1 -0.3733547707654955
2 -0.38318844806067376
3 -0.39444170059801387
4 -0.4073133316324279
5 -0.42201068198811087
6 -0.43863550503299453
7 -0.4570663781075859
8 -0.47692189434626986
9 -0.4976107807142848
10 -0.5184160515838848
11 -0.53734030427913
12 -0.5540179825873124
13 -0.5683358791076288
14 -0.5802116839431063
15 -0.589627343490439
16 -0.596658197115367
17 -0.6015104160332061
18 -0.6045812155274819
19 -0.6065465210529832
20 -0.6083570334405268
21 -0.6107167029120111
22 -0.6135520461193366
23 -0.6166607386553735
24 -0.6199487499729944
25 -0.6233543179879681
26 -0.6268275098785219
27 -0.6303252800884654
28 -0.6338094935147558
29 -0.637245716228372
30 -0.640602280769125
31 -0.6438494847252109
32 -0.6469588729634631
33 -0.6499025826616813
34 -0.6526527406350524
35 -0.655180906414667
36 -0.6574575557066046
37 -0.6594515975045054
38 -0.6611299113569435
39 -0.6624568689206057
40 -0.6633937278899809
41 -0.6638974449240935
42 -0.6639717450993257
