1 -0.3863928561193547
2 -0.39103765118337597
3 -0.3971817505287105
4 -0.4048700543418444
5 -0.41415586513573865
6 -0.4251074176062356
7 -0.43781555006625705
8 -0.4524005653409151
9 -0.469013323268749
10 -0.4878216475265844
11 -0.5089726257614966
12 -0.5325318045872734
13 -0.5584193700696732
14 -0.5863707792332041
15 -0.6159336796854
16 -0.645572851541434
17 -0.6719153659916047
18 -0.6952123141637853
19 -0.715644155545431
20 -0.7333809646398384
21 -0.7486043045744531
22 -0.7615125634907717
23 -0.7723181052142857
24 -0.7812400512859086
25 -0.7884947679282559
26 -0.7942853794290603
27 -0.7987912475307029
28 -0.8021580902543194
29 -0.8044891053600067
30 -0.805836785579832
31 -0.8062046187624954
